	pid	ptlon	ptlat	tfl	insl	insw	x_rti	az	lort	llon1	llat1	stcr_l	rlon1	rlat1	stcr_r	llon2	llat2	rlon2	rlat2	vhalf	obsaz	predaz_morvel	predaz_tf	sigc	bias
UNN_1	7.0	263.5	-37	79	56.8	1.7	50.6	89	1	-97.070	-37.010	1	-96.180	-37.000	1	-97.13	-36.29	-96.16	-37.11	24.9	1	-0.16	-0.24	0.99	0.11
UNN_2	7.0	-95.71	-37.1	71	56	1.3	39.9	89	1	-96.160	-37.110	1	-95.360	-37.100	1	-96.18	-37	-95.357	-37.25	25.0	1	0.55	0.48	0.77	0.05
UNN_3	7.0	-94.57	-37.32	81.4	74	1.5	40.8	88	1	-95.030	-37.340	1	-94.110	-37.310	1	-95.06	-37.24	-94.03	-38.35	25.0	2	1.57	1.51	0.67	0.21
UNN_4	7.0	-93	-38.42	65.2	62	1	32.7	87	1	266.625	-38.431	1	267.372	-38.397	1	-93.42	-38.33	267.4511719	-39.00040273	25.2	3	2.94	2.92	0.53	0.17
UNN_5	7.0	-92.05	-38.975	85.3	83	1.3	43.2	86.2	1	267.451	-39.000	1	268.436	-38.946	2	267.3720703	-38.39678309	-91.58	-40.23	25.2	4	3.77	3.76	0.52	0.25
Valdavia_1	7.0	-91.54	-41.09	45.5	41	2.1	24.4	84	1	-91.830	-41.110	2	-91.290	-41.070	1	-91.872	-40.246	-91.26	-41.23	25.5	6	4.17	4.17	1.69	0.17
Valdavia_2	7.0	269.22	-41.2	72.2	63.8	1.1	40.3	85	1	-91.260	-41.230	1	-90.400	-41.180	1	-91.29	-41.07	-90.39	-41.298	25.6	5	4.83	4.84	0.57	0.06
Valdavia_3	7.0	271.93	-41.321	108.3	54.2	1.7	81.2	83	1	-89.040	-41.390	1	-87.750	-41.290	1	-89.1	-41.198	-87.72	-41.51	25.6	7	7.18	7.22	1.04	0.08
Valdavia_4	7.0	-87.24	-41.46	171.6	78	1.5	40.4	83	1	-87.720	-41.510	1	-85.680	-41.310	1	-85.68	-41.31	-85.61	-41.56	25.6	7	7.89	7.94	0.64	0.33
Valdavia_5	7.0	-85.93	-41.35	171.6	41	1.5	150.3	81	1	-87.720	-41.510	1	-85.680	-41.310	1	-85.68	-41.31	-85.61	-41.56	25.6	9	9.02	9.1	1.21	0.14
Valdavia_6	7.0	-85.12	-41.49	83.7	57	1.2	41.5	80.6	1	-85.610	-41.560	1	-84.620	-41.430	1	-85.68	-41.31	-84.56	-41.59	25.7	9.5	9.71	9.8	0.70	0.06
UNN	7.0	276.75	-43.06	50.6	23.2	1.6	11.6	78.8	1	-83.390	-43.080	1	-82.780	-42.990	1	-83.77	-42.03	-81.91	-45	25.8	11.5	11.24	11.34	2.28	0.85
Guafo_1	7.0	-80.62	-44.81	287	200	7	103.8	78.5	1	-81.910	-45.000	1	-78.360	-44.450	1	-82.78	-42.99	282.1508789	-45.79204156	26.0	11.5	13.38	13.5	1.16	0.24
Guafo_2	7.0	-78.83	-44.527	287	75	7	249	75	1	-81.910	-45.000	1	-78.360	-44.450	1	-82.78	-42.99	282.1508789	-45.79204156	26.1	15	14.89	15.04	3.08	0.36
Guamblin 	7.0	-77.3	-45.68	76.6	63	1.5	44.4	73	1	282.151	-45.792	1	283.096	-45.596	1	-78.36	-44.45	283.3110352	-45.96947901	26.2	17	16.1	16.27	0.79	0.29
Darwin 	7.0	283.7	-45.886	54.7	46	1.5	31.7	73.5	1	283.311	-45.969	1	283.988	-45.829	1	283.0957031	-45.59559084	-75.814	-46.383	26.2	16.5	16.92	16.86	1.08	0.26
Bouvet 	8.0	1.83	-54.37	200	165	15	93.6	44	1	0.756	-54.937	1	3.006	-53.707	1	359.30	-54.67	5.63	-54.52	7.3	46	44.71	43.49	3.00	0.19
Islas_Orcadas 	8.0	6.1	-54.2	101.9	80	15	46.8	41	1	5.625	-54.521	1	6.662	-53.832	1	3.01	-53.71	8.05	-54.21	7.4	49	49.39	48.15	6.13	0.38
Shaka 	8.0	9	-53.5	198.3	180	15	100.6	39	1	8.051	-54.214	1	9.932	-52.824	1	6.66	-53.83	10.35	-52.99	7.5	51	52.76	51.59	2.75	0.10
Du_toit 	8.0	25.525	-53.009	138.7	95	5	62.6	21	1	25.189	-53.540	1	25.945	-52.376	1	14.66	-52.17	27.62	-52.80	8.1	68	68.82	67.93	1.74	0.78
Marion 	9.0	33.72	-46.45	107.9	85	5	53.6	16.5	1	33.508	-46.911	1	33.913	-45.982	1	32.59	-46.72	34.84	-46.13	7.1	73	73.9	73.29	1.94	0.17
